doc_id,sentence_id,sentence_text,sentence_text_translated,optimal_segment_id,greedy_segment_id,graphseg_segment_id,label_annotator,label_optimal,label_greedy
0,0_0,"Halo yayan, Terima kasih atas pertanyaannya","Hello yayan, Thank you for the question",s0_0,s0_0,s0_0,F1,Fx,Fx
0,0_1,"Berdasarkan riwayat keluhan istri Anda yang sudah Anda sampaikan, yaitu muntah - muntah dan diare lebih dari 5 - 10x, terdapat kemungkinan kondisi yang dialami oleh istri Anda, salah satunya adalah keracunan makanan, infeksi saluran cerna, adanya malapsorbsi / intoleransi makanan yang ditandai dengan gejala - gejala yang Anda sebutkan tersebut","Based on the history of your wife's complaints that you have conveyed, namely vomiting and diarrhea more than 5 - 10 times, there are possible conditions experienced by your wife, one of which is food poisoning, gastrointestinal infections, malabsorption / food intolerance which is characterized by symptoms - the symptoms you mentioned",s0_1,s0_1,s0_0,F4,F4,F4
0,0_2,Gejala muntah dan diare pada dasarnya merupakan respon tubuh yang wajar sebagaimana tubuh berusaha mengeluarkan toksin / racun dari makanan / minuman yang terkontaminasi yang dikonsumsi sebelumnya,Symptoms of vomiting and diarrhea are basically a natural response of the body as the body tries to remove toxins / poisons from contaminated food / drinks that were consumed previously,s0_1,s0_1,s0_0,F3,F4,F4
0,0_3,Kondisi ini dapat membaik dengan sendirinya dalam hitungan beberapa hari tanpa perlu pengobatan khusus dari dokter,This condition can improve on its own in a matter of a few days without the need for special treatment from,s0_1,s0_1,s0_1,F3,F3,F3
0,0_4,"Pantau terus gejala yang muncul, kembalikan cairan tubuh yang keluar, dan monitor tanda - tanda dehidrasi seperti lemas, mata cowong, tidak buang air kecil lebih dari 6 jam atau urin berwarna pekat, mulut kering dan rasa sangat haus, dan adanya tanda - tanda kebingungan","Continue to monitor the symptoms that appear, restore body fluids that come out, and monitor for signs of dehydration such as weakness, cow's eyes, not urinating for more than 6 hours or dark colored urine, dry mouth and feeling very thirsty, and signs of confusion",s0_1,s0_1,s0_1,F5,Fx,Fx
0,0_5,"Selain itu, berikut anjuran yang dapat dilakukan untuk mengurangi keluhan: Menghindari makan terlebih dahulu selama beberapa jam","In addition, the following can be done to reduce complaints: first eat a few hours first",s0_1,s0_2,s0_1,F5,F5,F5
0,0_6,"Minum air, sup, atau minuman elektrolit untuk membantu mengembalikan cairan yang keluar dari tubuh istri Anda","Drink water, soup, or electrolyte drinks to help restore fluids that are out of your wife's body",s0_2,s0_2,s0_1,F5,F5,F5
0,0_7,"Ketika makan nanti, makan sedikit - sedikit dengan makanan yang tawar seperti roti - rotian, nasi / bubur, biskuit","When eating later, eat a little with bland foods such as bread, rice / porridge, biscuits",s0_2,s0_2,s0_1,F5,F5,F5
0,0_8,Istirahat yang cukup,Enough rest,s0_2,s0_2,s0_1,F5,F5,F5
0,0_9,"Menghindari susu dan produk susu, kopi, minuman bersoda, dan makanan asam / pedas / berlemak terlebih dahulu","determine milk and dairy products, coffee, soft drinks, and sour / spicy / fat foods first",s0_2,s0_2,s0_1,F5,F1,F1
