doc_id,sentence_id,sentence_text,sentence_text_translated
0,0_0,"Halo yayan, Terima kasih atas pertanyaannya. ","Hello Yayan, thank you for the question."
0,0_1,"Berdasarkan riwayat keluhan istri Anda yang sudah Anda sampaikan, yaitu muntah - muntah dan diare lebih dari 5-10x,   terdapat kemungkinan kondisi yang dialami oleh istri Anda, salah satunya adalah keracunan makanan, infeksi saluran cerna, adanya malapsorbsi / intoleransi makanan yang ditandai dengan gejala - gejala yang Anda sebutkan tersebut. ","Based on the history of your wife's complaints that you have conveyed, namely vomiting and diarrhea more than 5-10x, there is a possibility of conditions experienced by your wife, one of which is food poisoning, digestive tract infections, the presence of malapsorption / food intolerance marked by symptoms- The symptoms you mentioned."
0,0_2,Gejala muntah dan diare pada dasarnya merupakan respon tubuh yang wajar sebagaimana tubuh berusaha mengeluarkan toksin / racun dari makanan / minuman yang terkontaminasi yang dikonsumsi sebelumnya. ,Symptoms of vomiting and diarrhea are basically the body's natural response as the body tries to remove toxins / poisons from contaminated foods / drinks that are consumed previously.
0,0_3,Kondisi ini dapat membaik dengan sendirinya dalam hitungan beberapa hari tanpa perlu pengobatan khusus dari dokter. ,This condition can improve by itself in a matter of several days without the need for special treatment from the doctor.
0,0_4,"Pantau terus gejala yang muncul, kembalikan cairan tubuh yang keluar, dan monitor tanda - tanda  dehidrasi seperti lemas, mata cowong, tidak buang air kecil lebih dari 6 jam atau urin berwarna pekat, mulut kering dan rasa sangat haus, dan adanya tanda - tanda  kebingungan. ","Monitor the symptoms that appear, return the body fluids that come out, and monitor signs of dehydration such as weakness, cowong's eyes, do not urinate more than 6 hours or urine is thick, dry mouth and very thirsty, and there are signs of confusion."
0,0_5,"Selain itu, berikut anjuran yang dapat dilakukan untuk mengurangi keluhan: Menghindari makan terlebih dahulu selama beberapa jam. ","In addition, the following recommendations can be done to reduce complaints: Avoid eating first for several hours."
0,0_6,"Minum air, sup, atau minuman elektrolit untuk membantu mengembalikan cairan yang keluar dari tubuh istri Anda. ","Drinking water, soup, or electrolyte drink to help restore the fluid that comes out of your wife's body."
0,0_7,"Ketika makan nanti, makan sedikit - sedikit dengan makanan yang tawar seperti roti - rotian, nasi / bubur, biskuit. ","When eating later, eat a little - a little with fresh food like bread, rice / porridge, biscuits."
0,0_8,Istirahat yang cukup. ,Enough rest.
0,0_9,"Menghindari susu dan produk susu, kopi, minuman bersoda, dan makanan asam / pedas / berlemak terlebih dahulu. ","Avoid milk and dairy products, coffee, soft drinks, and sour / spicy / fatty foods first."
