doc_id,sentence_id,sentence_text
0,0_0,"Halo yayan, Terima kasih atas pertanyaannya. "
0,0_1,"Berdasarkan riwayat keluhan istri Anda yang sudah Anda sampaikan, yaitu muntah - muntah dan diare lebih dari 5-10x,   terdapat kemungkinan kondisi yang dialami oleh istri Anda, salah satunya adalah keracunan makanan, infeksi saluran cerna, adanya malapsorbsi / intoleransi makanan yang ditandai dengan gejala - gejala yang Anda sebutkan tersebut. "
0,0_2,Gejala muntah dan diare pada dasarnya merupakan respon tubuh yang wajar sebagaimana tubuh berusaha mengeluarkan toksin / racun dari makanan / minuman yang terkontaminasi yang dikonsumsi sebelumnya. 
0,0_3,Kondisi ini dapat membaik dengan sendirinya dalam hitungan beberapa hari tanpa perlu pengobatan khusus dari dokter. 
0,0_4,"Pantau terus gejala yang muncul, kembalikan cairan tubuh yang keluar, dan monitor tanda - tanda  dehidrasi seperti lemas, mata cowong, tidak buang air kecil lebih dari 6 jam atau urin berwarna pekat, mulut kering dan rasa sangat haus, dan adanya tanda - tanda  kebingungan. "
0,0_5,"Selain itu, berikut anjuran yang dapat dilakukan untuk mengurangi keluhan: Menghindari makan terlebih dahulu selama beberapa jam. "
0,0_6,"Minum air, sup, atau minuman elektrolit untuk membantu mengembalikan cairan yang keluar dari tubuh istri Anda. "
0,0_7,"Ketika makan nanti, makan sedikit - sedikit dengan makanan yang tawar seperti roti - rotian, nasi / bubur, biskuit. "
0,0_8,Istirahat yang cukup. 
0,0_9,"Menghindari susu dan produk susu, kopi, minuman bersoda, dan makanan asam / pedas / berlemak terlebih dahulu. "
0,0_10,"Apabila gejala tidak membaik dalam waktu 3-5 hari, masih terus muntah atau diare dan terdapat darah di dalamnya, demam, lemas, langsung hubungi petugas fasilitas layanan kesehatan terdekat. "
0,0_11,Semoga informasi ini dapat membantu dan semoga lekas sembuh. 
0,0_12,Salam.
1,1_0,Halo. 
1,1_1,Terima kasih atas pertanyaan yang disampaikan ke Alodokter. 
1,1_2,Kami dapat memahami kekhawatiran yang Anda rasakan. 
1,1_3,"Siklus menstruasi diawali oleh penglepasan sel telur dari indung telur ke rahim, yang diikuti oleh penebalan dinding rahim untuk persiapan menempelnya hasil fertilisasi / pembuahan sel telur oleh sperma. "
1,1_4,"Bila sel telur tidak dibuahi oleh sperma, dinding rahim akan meluruh sehingga keluar melalui vagina dalam bentuk darah serta sel - sel yang rusak. "
1,1_5,"Siklus menstruasi biasanya berlangsung setiap 21-35 hari, dengan haid yang berlangsung selama 2-8 hari, dan volume darah haid berkisar dari 20-60 mL (setara dengan 1-6 pembalut sehari). "
1,1_6,Tidak menutup kemungkinan bahwa gejala ketidakteraturan menstruasi yang Anda alami merupakan bentuk gangguan haid. 
1,1_7,"Ada beberapa kemungkinan bentuk gangguan haid, yang tersering antara lain: Metroragia, yaitu perdarahan haid yang interval antarhaidnya tak teratur. "
1,1_8,"Menometroragia, yaitu peningkatan volume / durasi perdarahan haid yang disertai interval antarhaid yang tidak teratur. "
1,1_9,"Hipermenorea/  menoragia, yaitu peningkatan volume perdarahan haid (lebih dari 80 mL darah / hari) dan / atau memanjangnya durasi haid (lebih dari 7 hari), tetapi dengan interval antarhaid yang tetap normal. "
1,1_10,"Ada banyak kemungkinan penyebab gangguan haid, meliputi: Masalah pada organ reproduksi (rahim, leher rahim, saluran / tuba falopi, indung telur), termasuk pula sindrom polikistik ovarium. "
1,1_11,"Faktor - faktor lain di luar sistem organ reproduksi, meliputi: gangguan hormonal, efek samping obat, gangguan pembekuan darah, stres, episode depresi). "
1,1_12,"Supaya kondisi Anda dapat dievaluasi dan ditangani secara tepat, kami menyarankan Anda untuk memeriksakan diri secara langsung ke  dokter spesialis kebidanan dan kandungan. "
1,1_13,"Selain anamnesis dan pemeriksaan fisis, dokter mungkin menyarankan pemeriksaan penunjang bila ditemukan indikasi, misalnya: ultrasonografi (USG) kandungan, pemeriksaan darah, atau CT - scan. "
1,1_14,"Untuk membantu redakan keluhan, Anda disarankan untuk melakukan langkah - langkah sederhana berikut ini: Istirahat yang cukup. "
1,1_15,"Jaga berat badan dalam rentang normal, Makan makanan bergizi seimbang secara teratur. "
1,1_16,Rutin melakukan latihan fisik atau olahraga. 
1,1_17,Minum air putih paling tidak 8 gelas sehari Manajemen stres dengan baik. 
1,1_18,"Untuk memperkaya wawasan, Anda dapat membaca artikel tentang  gangguan menstruasi. "
1,1_19,Demikian informasi dari kami. 
1,1_20,Mudah - mudahan senantiasa sehat. 
1,1_21,Semoga bermanfaat.
2,2_0,"Selamat pagi, terima kasih atas pertanyaannya. "
2,2_1,Reumatoid artritis (RA) merupakan penyakit autoimun dimana sistem kekebalan tubuh yang menyerang persendian sehingga menyebabkan peradangan kronis. 
2,2_2,Obat anti inflamasi kortikosteroud dan nonsteroid digunakan untuk mengendalikan gejala RA. 
2,2_3,Namun untuk mengontrol perkembangan penyakit perlu diberikan obat golongan disease - modifying antirheumatic drugs (DMARDs) seperti metotreksat. 
2,2_4,Keduanya merupakan obat utama pada terapi RA ini. 
2,2_5,"DMARDs dapat mempengaruhi perkembangan penyakit, tetapi membutuhkan waktu 4-6 bulan lamanya untuk mendapatkan respon terapi penuh. "
2,2_6,Namun penggunaan metotreksat harus dibawah monitoring oleh dokter karena dalam jangka waktu panjang dapat mengakibatkan gangguan berbagai organ seperti penurunan fungsi hati dan ginjal. 
2,2_7,"Sehingga pemberian DMARDs sebaiknya dilakukan setelah diagnosis, perkembangan dan keparahan penyakit sudah dipastikan dan tidak semua pasien dapat diberikan. "
2,2_8,Umumnya pada tahap awal hanya diberikan anti inflamasi non steroid kemudian dilakukan evaluasi respon pengobatan. 
2,2_9,Lakukanlah konsultasi dengan dokter untuk mendapatkan terapi yang tepat sesuai dengan kondisi medis anda. 
2,2_10,"Sekian, semoga dapat membantu Wassalam."
3,3_0,"Halo Friscilla, terima kasih ya sudah bertanya di Alodokter. "
3,3_1,"Membaca keluhan yang anda alami, keluhan tersebut memang dapat saja disebabkan oleh efek samping suplemen yang anda konsumsi (terutama jika suplemen tersebut bukan direkomendasikan oleh dokter dan belum banyak penelitian yang jelas mengenai suplemen tersebut),  tetapi dapat pula disebabkan oleh beberapa kemungkinan kondisi lain seperti : Radang usus Irritable bowel syndrome (IBS) Infeksi saluran cerna Sindrom dispepsia. "
3,3_2,"Sementara ini, sangat disarankan untuk menghentikan terlebih dahulu konsumsi suplemen penambah nafsu makan tersebut jika memang bukan disarankan oleh dokter dan beralih dengan mengubah pola pikir, pandangan dan makanan anda sehari - hari. "
